timestamp,open,high,low,close,volume
2025-09-05 12:33:19.349834,96.0001,96.00021,95.99996,96.0001,137
2025-09-05 12:34:19.349834,96.00003,96.00015,95.99998,96.00008,120
2025-09-05 12:35:19.349834,96.00005,96.00035,96.00004,96.00022,118
2025-09-05 12:36:19.349834,96.00014,96.00059,96.00014,96.00054,198
2025-09-05 12:37:19.349834,96.0006,96.0006,96.00044,96.00051,100
2025-09-05 12:38:19.349834,96.00051,96.00059,96.00032,96.00049,158
2025-09-05 12:39:19.349834,96.00047,96.00095,96.00047,96.00085,167
2025-09-05 12:40:19.349834,96.00084,96.00117,96.00084,96.00104,138
2025-09-05 12:41:19.349834,96.00109,96.00109,96.00084,96.00098,78
2025-09-05 12:42:19.349834,96.00094,96.00122,96.00094,96.00114,163
2025-09-05 12:43:19.349834,96.00124,96.00124,96.00102,96.00108,168
2025-09-05 12:44:19.349834,96.00108,96.00128,96.00092,96.00103,167
2025-09-05 12:45:19.349834,96.0011,96.00119,96.00108,96.00115,192
2025-09-05 12:46:19.349834,96.00113,96.00113,96.00078,96.00078,158
2025-09-05 12:47:19.349834,96.00079,96.00079,96.00042,96.00046,116
2025-09-05 12:48:19.349834,96.00046,96.00064,96.0003,96.00041,98
2025-09-05 12:49:19.349834,96.0004,96.0004,96.00023,96.00026,162
2025-09-05 12:50:19.349834,96.00027,96.00046,96.00027,96.00042,79
2025-09-05 12:51:19.349834,96.00043,96.00043,96.00017,96.0003,112
2025-09-05 12:52:19.349834,96.00022,96.00022,96.00002,96.00007,130
2025-09-05 12:53:19.349834,96.00007,96.00056,96.00007,96.00051,164
2025-09-05 12:54:19.349834,96.00056,96.00068,96.00052,96.00057,70
2025-09-05 12:55:19.349834,96.00065,96.00084,96.00054,96.0007,146
2025-09-05 12:56:19.349834,96.00071,96.00071,96.0004,96.00048,125
2025-09-05 12:57:19.349834,96.00048,96.00054,96.0004,96.00047,159
2025-09-05 12:58:19.349834,96.00039,96.00073,96.00039,96.00063,58
2025-09-05 12:59:19.349834,96.00066,96.00066,96.00036,96.00049,104
2025-09-05 13:00:19.349834,96.00048,96.00084,96.00048,96.00072,114
2025-09-05 13:01:19.349834,96.0008,96.00097,96.00072,96.00072,136
2025-09-05 13:02:19.349834,96.00068,96.00085,96.00056,96.00081,74
2025-09-05 13:03:19.349834,96.00089,96.001,96.00065,96.00082,138
2025-09-05 13:04:19.349834,96.00087,96.00152,96.00087,96.00146,139
2025-09-05 13:05:19.349834,96.00137,96.00171,96.00137,96.00163,192
2025-09-05 13:06:19.349834,96.00171,96.00171,96.00138,96.00154,111
2025-09-05 13:07:19.349834,96.00154,96.00201,96.00154,96.00194,140
2025-09-05 13:08:19.349834,96.002,96.002,96.00168,96.00182,113
2025-09-05 13:09:19.349834,96.00173,96.00214,96.00173,96.00208,174
2025-09-05 13:10:19.349834,96.00212,96.00212,96.00156,96.00178,93
2025-09-05 13:11:19.349834,96.00172,96.00172,96.00157,96.00165,126
2025-09-05 13:12:19.349834,96.00157,96.00201,96.00157,96.00192,157
2025-09-05 13:13:19.349834,96.00201,96.00241,96.00201,96.00235,91
2025-09-05 13:14:19.349834,96.00245,96.00274,96.00245,96.00263,65
2025-09-05 13:15:19.349834,96.00258,96.00289,96.00258,96.00284,143
2025-09-05 13:16:19.349834,96.00293,96.00322,96.00282,96.00301,154
2025-09-05 13:17:19.349834,96.00311,96.00311,96.00278,96.00287,183
2025-09-05 13:18:19.349834,96.00283,96.00302,96.00283,96.00294,80
2025-09-05 13:19:19.349834,96.00302,96.00315,96.00302,96.00308,64
2025-09-05 13:20:19.349834,96.00307,96.00392,96.00307,96.00365,63
